season,date,competition,home_team,away_team,home_goals,away_goals,winner
2024/25,2024-12-14,Premier League,Liverpool FC,Fulham FC,2,2,DRAW
2024/25,2024-12-22,Premier League,Tottenham Hotspur FC,Liverpool FC,3,6,AWAY_TEAM
2024/25,2024-12-26,Premier League,Liverpool FC,Leicester City FC,3,1,HOME_TEAM
2024/25,2024-12-29,Premier League,West Ham United FC,Liverpool FC,0,5,AWAY_TEAM
2024/25,2025-01-05,Premier League,Liverpool FC,Manchester United FC,2,2,DRAW
2024/25,2025-01-14,Premier League,Nottingham Forest FC,Liverpool FC,1,1,DRAW
2024/25,2025-01-18,Premier League,Brentford FC,Liverpool FC,0,2,AWAY_TEAM
2024/25,2025-01-21,UEFA Champions League,Liverpool FC,Lille OSC,2,1,HOME_TEAM
2024/25,2025-01-25,Premier League,Liverpool FC,Ipswich Town FC,4,1,HOME_TEAM
2024/25,2025-01-29,UEFA Champions League,PSV,Liverpool FC,3,2,HOME_TEAM
2024/25,2025-02-01,Premier League,AFC Bournemouth,Liverpool FC,0,2,AWAY_TEAM
2024/25,2025-02-12,Premier League,Everton FC,Liverpool FC,2,2,DRAW
2024/25,2025-02-16,Premier League,Liverpool FC,Wolverhampton Wanderers FC,2,1,HOME_TEAM
2024/25,2025-02-19,Premier League,Aston Villa FC,Liverpool FC,2,2,DRAW
2024/25,2025-02-23,Premier League,Manchester City FC,Liverpool FC,0,2,AWAY_TEAM
2024/25,2025-02-26,Premier League,Liverpool FC,Newcastle United FC,2,0,HOME_TEAM
2024/25,2025-03-05,UEFA Champions League,Paris Saint-Germain FC,Liverpool FC,0,1,AWAY_TEAM
2024/25,2025-03-08,Premier League,Liverpool FC,Southampton FC,3,1,HOME_TEAM
2024/25,2025-03-11,UEFA Champions League,Liverpool FC,Paris Saint-Germain FC,1,5,AWAY_TEAM
2024/25,2025-04-02,Premier League,Liverpool FC,Everton FC,1,0,HOME_TEAM
2024/25,2025-04-06,Premier League,Fulham FC,Liverpool FC,3,2,HOME_TEAM
2024/25,2025-04-13,Premier League,Liverpool FC,West Ham United FC,2,1,HOME_TEAM
2024/25,2025-04-20,Premier League,Leicester City FC,Liverpool FC,0,1,AWAY_TEAM
2024/25,2025-04-27,Premier League,Liverpool FC,Tottenham Hotspur FC,5,1,HOME_TEAM
2024/25,2025-05-04,Premier League,Chelsea FC,Liverpool FC,3,1,HOME_TEAM
2024/25,2025-05-11,Premier League,Liverpool FC,Arsenal FC,2,2,DRAW
2024/25,2025-05-19,Premier League,Brighton & Hove Albion FC,Liverpool FC,3,2,HOME_TEAM
2024/25,2025-05-25,Premier League,Liverpool FC,Crystal Palace FC,1,1,DRAW
